"idx","Title of the Solution","Description of the solution","Links to the solution","SDG(s)","Tags for the solution","Type of the Solution","Who lead the solution","Location","Other Notes","Images"
"11","Earth Tubes","Earth tubes are underground pipes that use the stable temperature of the earth to pre-condition incoming air before it enters the building, providing natural cooling system. They require no pumps or fans, and are completely passive.","https://earthship.com/2020/03/27/cooling-tubes/","7, 9, 11","Energy Efficiency, Low cost system for passively cooling, Renewable energy, Cooling tubes","Technological","Local Government","South Afric; Australia","","https://acclabplatforms.blob.core.windows.net/pads/media/image13.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image14.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image15.jpeg"
"12","Marina One","A sustainable mixed-use development that incorporates passive cooling System measures, such as greenery and water features, to reduce energy consumption. The project has achieved approximately 20% reduction in cooling load and 33% reduction in energy consumption","https://www.indesignlive.sg/projects/10-projects-nurture-nature","9, 11","Affordable and clean energy, Sustainable cities and communities, Passive cooling strategies","Innovative","Private Sector","Singapore","","https://acclabplatforms.blob.core.windows.net/pads/media/image16.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image17.jpeg"
"13","BCA Green Mark","A green building rating system that promotes sustainable design and construction practices, including Passive Cooling System measures","https://www1.bca.gov.sg/buildsg/sustainability/green-mark-certification-scheme","7,11,13","Affordable and Clean Energy, Sustainable Cities and Communities, Climate Action","Passive Cooling System","Local Government","Singapore","","https://acclabplatforms.blob.core.windows.net/pads/media/image18.png"
"14","Chilled Ceiling System","A cooling system that uses a network of chilled pipes installed in the ceiling to absorb heat from the room, providing a comfortable indoor environment.","https://www.connols-air.com/product/multifunction-exposed-ceiling/","7,9,11","Affordable and Clean Energy, Industry, Innovation and Infrastructure, Sustainable Cities and Communities","Chilled Ceiling","Private Sector","Singapore","https://www.theseverngroup.com/chilled-beam-vs-chilled-ceiling/ 
there are multiple producers that work on these technologies","https://acclabplatforms.blob.core.windows.net/pads/media/image19.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image20.png,https://acclabplatforms.blob.core.windows.net/pads/media/image21.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image22.png"
"15","Variable Refrigerant Flow System","A cooling system that uses a single outdoor unit and multiple indoor units to provide individualized temperature control for each room.","https://www.hitachiaircon.com/ranges/vrf-systems","7,9,11","Affordable and Clean Energy, Industry, Innovation and Infrastructure, Sustainable Cities and Communities","Centralized Cooling","Private Sector","Singapore","","https://acclabplatforms.blob.core.windows.net/pads/media/image23.png"
"16","Punggol Waterway Terraces","A public housing development that incorporates Passive Cooling System measures, such as greenery and water features, to reduce energy consumption","https://www.hdb.gov.sg/cs/infoweb/-/media/doc/CCG/hdbunveilsannex.ashx","7,11","Affordable and Clean Energy, Sustainable Cities and Communities","Passive Cooling System","Local Government","Singapore","","https://acclabplatforms.blob.core.windows.net/pads/media/image24.png,https://acclabplatforms.blob.core.windows.net/pads/media/image25.png"
"17","HDB Greenprint","A roadmap for sustainable public housing that includes Passive Cooling System measures, such as shading devices and greenery, to reduce energy consumption","https://www.hdb.gov.sg/cs/infoweb/about-us/news-and-publications/press-releases/hdb-greenprint-brings-sustainable-and-green-living","7,11","Affordable and Clean Energy, Sustainable Cities and Communities","Passive Cooling System","Local Government","Singapore","","https://acclabplatforms.blob.core.windows.net/pads/media/image26.png"
"18","Sika Group Green Initiative","Implementation of green buildings with efficient cooling systems that reduce energy consumption and use sustainable materials","https://www.sika.com/en/sustainability/sustainable-solutions/green-building-programs.html","7,9,11","Affordable and Clean Energy, Industry, Innovation and Infrastructure, Sustainable Cities and Communities","Efficient Cooling","Private Sector","India","","https://acclabplatforms.blob.core.windows.net/pads/media/image27.png"
"19","Terracool","Passive Cooling System that uses terracotta tubes to cool the air, reducing indoor temperatures by 3-4°C","https://www.indiamart.com/terracool/","7,11","Affordable and Clean Energy, Sustainable Cities and Communities","Passive Cooling System","Community Led","India","","https://acclabplatforms.blob.core.windows.net/pads/media/image28.png"
"20","Chitra Vishwanath Architects","Designing buildings with Passive Cooling System techniques such as cross ventilation, building orientation, and shading devices","https://www.earth-auroville.com/chitra_vishwanath_architects_en.php","7,11","Affordable and Clean Energy, Sustainable Cities and Communities","Passive Cooling System","Private Sector","India","","https://acclabplatforms.blob.core.windows.net/pads/media/image29.png"
"21","SolabCool","A solar-powered absorption cooling system for off-grid areas","https://www.solabcool.com/","7","Solar Cooling, Absorption Cooling","Solar Cooling System","Private Sector","India; Uganda; Bangladesh","","https://acclabplatforms.blob.core.windows.net/pads/media/image30.png"
"22","Solar Adsorption Cooling","Uses solar energy to power an adsorption chiller for cooling buildings","https://www.sciencedirect.com/science/article/abs/pii/B9780081003015000126","7,11","Solar Cooling, Adsorption Cooling","Building Cooling System","Private Sector","France","https://www.semanticscholar.org/paper/A-Review-on-Solar-Adsorption-Cooling-System-with-Pathak-Badhe/a77bd509148bd4e4f0fbb8dfb62e00a2b670d2b3","https://acclabplatforms.blob.core.windows.net/pads/media/image31.png"
"23","Swamp Cooler","A simple and affordable evaporative cooling solution for residential buildings","https://piec.com/swamp-cooler-vs-air-conditioner-which-one-is-better/","7,11","Evaporative Cooling, Building Cooling","Building Cooling System","Private Sector","Phoenix, USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image32.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image33.jpeg"
"24","EcoCooling","An evaporative cooling system that can be used in commercial and industrial buildings","https://www.ecocooling.co.United Kingdom/","7,11","Evaporative Cooling, Building Cooling","Building Cooling System","Private Sector","United Kingdom; Europe","","https://acclabplatforms.blob.core.windows.net/pads/media/image34.png"
"25","Evaporative Cooling Tower","An evaporative cooling system that is commonly used in industrial settings to cool equipment and machinery","https://www.evapco.com/technologies/evaporative-cooling-101","7,11","Evaporative Cooling, Industrial Cooling","Industrial Cooling System","Private Sector","Maryland, USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image35.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image36.png"
"26","ENWA District Cooling","A district cooling system that provides chilled water to various buildings in the city of Tromsø, Norway","https://www.enwa.com/energy-water/water-industry2","7,11","District Cooling, Building Cooling","District Cooling System","Private Sector","Norway","","https://acclabplatforms.blob.core.windows.net/pads/media/image37.png"
"27","District Energy St. Paul","A district heating and cooling system that provides energy to various buildings in downtown St. Paul, Minnesota, United States","https://www.districtenergy.com/","7,11","District Heating, District Cooling","District Energy System","Private Sector","Minesota, USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image38.png"
"28","Veolia District Cooling","A district cooling system that provides chilled water to various buildings in Paris, France","https://www.veolia.com/en/news/global-district-energy-climate-award-2019","7,11","District Cooling, Building Cooling","District Cooling System","Private Sector","France","","https://acclabplatforms.blob.core.windows.net/pads/media/image39.png"
"29","Emirates Central Cooling System (EMPOWER)","A district cooling solution that serves various commercial, residential, and industrial buildings in Dubai","https://empower.ae/","7,11","District Cooling, Building Cooling","District Cooling System","Private Sector","United Arab Emirates","","https://acclabplatforms.blob.core.windows.net/pads/media/image40.png"
"30","Hellisheidi GeoThermal Cooling System Plant","A GeoThermal Cooling System solution that uses hot water from the Hellisheidi geoThermal Cooling System plant to cool various buildings in Reykjavik, Iceland","https://www.power-technology.com/projects/hellisheidi-geothermal-power-plant/","7,11","GeoThermal Cooling System, Building Cooling","GeoThermal Cooling System","Local Government","Iceland","","https://acclabplatforms.blob.core.windows.net/pads/media/image41.png"
"31","GeoThermal Cooling System District Heating and Cooling System in Boise, Idaho","A geoThermal Cooling System district heating and cooling system that provides renewable energy to various buildings in Boise, Idaho, United States","https://www.nrel.gov/docs/fy04osti/36316.pdf","7,11","GeoThermal Cooling System","GeoThermal Cooling System Energy System","Private Sector","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image42.png"
"32","Green Energy GeoThermal Cooling System","A GeoThermal Cooling System solution that uses the Earth's natural heat to cool buildings in New Zealand","https://yaleclimateconnections.org/2022/08/geothermal-heating-and-cooling-renewable-energys-hidden-gem/","7,11","GeoThermal Cooling System, Building Cooling","GeoThermal Cooling System System","Private Sector","New Zealand","","https://acclabplatforms.blob.core.windows.net/pads/media/image43.png"
"33","Lakeview GeoThermal Cooling System System","A GeoThermal Cooling System solution that uses water from an underground aquifer to cool various buildings in the city of Oak Ridge, Tennessee, United States","https://www.energy.ca.gov/powerplant/steam-turbine/lake-view-geothermal-project-unit-17","7,11","GeoThermal Cooling System, Building Cooling","GeoThermal Cooling System System","Local Government","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image44.png"
"34","Baseload Renewables GeoThermal Cooling System","A GeoThermal Cooling System solution that uses geoThermal Cooling System energy to cool buildings in the state of Utah, United States","https://www.baseloadcap.com/","7,11","GeoThermal Cooling System, Building Cooling","GeoThermal Cooling System System","Private Sector","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image45.png"
"35","GeoThermal Cooling System System in Richmond Hill, Ontario","A GeoThermal Cooling System system that uses the Earth's natural heat to cool various buildings in Richmond Hill, Ontario, Canada","https://www.meeco.ca/service/geothermal-heating-and-cooling/","7,11","GeoThermal Cooling System, Building Cooling","GeoThermal Cooling System System","Local Government","Canada","","https://acclabplatforms.blob.core.windows.net/pads/media/image46.png"
"36","Evaporative Cooling Chambers","Evaporative cooling chambers (ECCs), also known as “zero energy cool chambers” (ZECCs), are simple and inexpensive systems that keep vegetables fresh without the use of electricity. These chambers can be made from locally available materials including bricks, sand, wood, dry grass, gunny/burlap sack, and twine.","https://www.engineeringforchange.org/solutions/product/evaporative-cooling-chambers/","7,11","Passive Cooling System, Thermal Cooling System Mass","Passive Cooling System","Community Led","Africa","Open sourced technology, locally manufactured
additional llink: https://energypedia.info/wiki/Evaporative_cooling_chamber","https://acclabplatforms.blob.core.windows.net/pads/media/image47.png"
"37","Straw Bale Buildings","A sustainable building technique that uses straw bales as insulation for walls, roofs, and floors. The straw bales have high Thermal Cooling System mass and provide Passive Cooling System.","https://www.strawbale.com/","7,11","Passive Cooling System, Thermal Cooling System Mass","Passive Cooling System","Private Sector","USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image48.png"
"38","Permeable Paving","A modular pavement system designed to be more permeable and reflective, reducing the heat island effect and improving stormwater management.","https://www.linkedin.com/pulse/permeable-paving-sustainable-solution-urban-design-andy-newton","11","Cool pavement, Stormwater Management","Thermal Cooling System","Private Sector","Sydney, Australia ","Reduces the urban heat island effect: Traditional pavement surfaces absorb and retain heat, which contributes to the urban heat island effect - a phenomenon where cities are significantly warmer than their surrounding rural areas. Permeable paving surfaces reflect more sunlight and allow water to cool the surface, reducing the urban heat island effect.","https://acclabplatforms.blob.core.windows.net/pads/media/image49.png"
"39","CoolSeal","A cool pavement coating designed to reflect sunlight and reduce urban heat island effect.","https://www.coolseal.com/blog/coolseal-put-to-the-test","11","Cool pavement, Urban Heat Island Mitigation","Thermal Cooling System","Local Government","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image50.jpeg"
"40","Flexi-Pave","A permeable pavement system made of recycled tires that helps to reduce the urban heat island effect and improve stormwater management.","https://capitolflexipave.com/learn/what-is-flexi-pave","11","Cool pavement, Stormwater Management","Thermal Cooling System","Private Sector","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image51.png"
"41","Ground-Coupled Heat Exchangers","Ground-coupled heat exchangers (GCHEs) use earth tubes to pre-condition air for Mechanical Cooling Systems cooling systems.","https://www.energy.gov/sites/default/files/2018/05/f51/Black%20-%20Heat%20Pipe%20Enhanced%20Recuperators%20for%20sCO2%20Power%20Cycles_20180315.pptx","7,11","Passive Cooling System, Renewable energy","Passive Cooling System","Government; Community Led","United States; Canada","","https://acclabplatforms.blob.core.windows.net/pads/media/image52.png"
"42","Ice Bank Energy Storage","Ice Bank Energy Storage offers a range of Ice-based Cooling System Thermal Cooling System energy storage systems for commercial and industrial applications. The systems can help to reduce energy costs and peak demand, and are suitable for a range of industries, including data centers, hospitals, and food processing.","https://www.omegathermoproducts.nl/en/products/machines/ice-bank/","7,9,11","Thermal Cooling System Energy Storage, Energy Efficiency, HVAC","Ice-based Cooling System","Private Sector","United States","Video Link: https://youtu.be/dPMl3zVO9Uc ","https://acclabplatforms.blob.core.windows.net/pads/media/image53.png"
"43","FAFCO","FAFCO offers Ice-based Cooling System Thermal Cooling System energy storage systems for commercial and industrial applications. The systems can help to reduce energy costs and peak demand, and are suitable for a range of industries, including food processing, agriculture, and hospitality.","https://fafco.com/icestor-thermal-energy-storage/","7,9,11","Thermal Cooling System Energy Storage, Energy Efficiency, HVAC","Ice-based Cooling System","Private Sector","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image54.png"
"44","Cryogel","Cryogel offers Thermal Cooling System energy storage systems using ice as a storage medium. The systems are designed for commercial and industrial applications and can help to reduce energy costs and peak demand.","https://www.cryogel.com/","7,9,11","Thermal Cooling System Energy Storage, Energy Efficiency, HVAC","Ice-based Cooling System","Private Sector","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image55.png"
"45","Berg Chilling Systems","Berg Chilling Systems provides Ice-based Cooling System Thermal Cooling System energy storage solutions for commercial and industrial applications. The systems can help to reduce energy costs and peak demand, and are suitable for a range of industries, including food processing, pharmaceuticals, and data centers.","https://berg-group.com/","7,9,11","Thermal Cooling System Energy Storage, Energy Efficiency, HVAC","Ice-based Cooling System","Private Sector","Canada","","https://acclabplatforms.blob.core.windows.net/pads/media/image56.png"
"46","Viking Cold Solutions","Viking Cold Solutions offers Thermal Cooling System energy storage systems using a proprietary phase change material that stores energy as ice. The systems are designed to reduce energy consumption and peak demand in cold storage facilities.","https://www.vikingcold.com/","7,9,11","Thermal Cooling System Energy Storage, Cold Storage, Energy Efficiency","Ice-based Cooling System","Private Sector","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image57.png"
"47","CALMAC","CALMAC's Thermal Cooling System energy storage systems use ice as a storage medium, enabling facilities to reduce peak demand and energy costs. The systems can integrate with existing HVAC systems and are suitable for a range of applications, from data centers to sports arenas.","https://www.calmac.com/","7,9,11","Thermal Cooling System Energy Storage, Cold Storage, Energy Efficiency","Ice-based Cooling System","Private Sector","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image58.png"
"48","Radiant Cooling Paint","A paint-like coating that is applied to interior surfaces and cools a space by reflecting and emitting heat, similar to how radiant barriers work in attics","https://www.energy.gov/energysaver/design/energy-efficient-home-design/cool-roofs","7,11","Building technology, Radiant cooling","Passive Cooling System","Private Sector","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image59.png"
"49","Thermal Cooling Systemly Active Building System (TABS)","The Thermally Activated Building System (TABS) is a combined heating and cooling system with pipes embedded in the structural concrete slabs or walls of multi storey buildings. TABS operates at temperature close to ambient enabling more efficient utilization of renewable and free cooling sources. Moreover, it provides optimized thermal indoor environment. ","https://www.researchgate.net/publication/281968993_Thermally_Activated_Building_System_TABS_Efficient_cooling_and_heating_of_commercial_buildings","7,11","Building technology, Radiant cooling","Active Cooling System","Private Sector","Europe","Video Link: https://www.youtube.com/watch?v=v6Db78xKQwQ ","https://acclabplatforms.blob.core.windows.net/pads/media/image60.png,https://acclabplatforms.blob.core.windows.net/pads/media/image61.png"
"50","Fiberglass Insulation","A popular insulation material made of spun glass fibers, commonly used in walls and attics","https://www.owenscorning.com/en-us/insulation/products/png-fiberglas-insulation","7,9,11","Affordable and Clean Energy","Technological Cooling System","Private Sector","USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image62.png"
"51","Ground Source Cooling System","Uses the constant temperature of the ground to cool buildings by circulating water through underground pipes","https://www.geothermal-energy.org/pdf/IGAstandard/ISS/2003Germany/II/7_1.dri.pdf","7","Affordable and Clean Energy","Natural Cooling System","Private Sector","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image63.png"
"52","Cellulose Insulation","An eco-friendly insulation material made of recycled paper products, treated with fire retardants","https://cellulose.org/why-cellulose/","7,9,11","Affordable and Clean Energy","Natural Cooling System","Community Led/Private Sector Led","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image64.png"
"53","Roofmeadow's Green Roofs","A company that designs and installs green roofs to improve energy efficiency, reduce urban heat island effect, and promote biodiversity in buildings and cities","https://studio-sustena.com/","7, 11, 13","Affordable and Clean Energy, Sustainable Cities and Communities, Climate Action","Natural Cooling System","Community Led/Private Sector Led","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image65.png"
"54","ZinCo's Green Roofs","A company that offers a range of green roof systems to improve energy efficiency, reduce urban heat island effect, and promote biodiversity in buildings and cities","https://zinco-greenroof.com/green-roof-systems","7,11,13","Affordable and Clean Energy, Sustainable Cities and Communities, Climate Action","Natural Cooling System","Private Sector","Germany","","https://acclabplatforms.blob.core.windows.net/pads/media/image66.png"
"55","The Heat Island Group's Green Roofs","A series of research-based green roof designs that reduce the urban heat island effect and improve energy efficiency in buildings","https://www.sciencedirect.com/science/article/pii/S0038092X18307411","7, 11, 13","Affordable and Clean Energy, Sustainable Cities and Communities, Climate Action","Natural Cooling System","Private Sector","United States","https://www.sciencedirect.com/science/article/abs/pii/S1359431122018099 
https://www.sciencedirect.com/science/article/abs/pii/S0360132322000397 
https://www.sciencedirect.com/science/article/abs/pii/S1618866723001899 ","https://acclabplatforms.blob.core.windows.net/pads/media/image67.png"
"56","Comfy's Radiant Cooling","A system that uses chilled water circulated through pipes in a building's ceiling or walls to provide comfortable cooling without the use of fans or ducts, with an added layer of personalized control through a mobile app","https://comfyapp.com/comfy-goes-international-with-infosys-leader-in-smart-building-tech/","7, 9, 11","Affordable and Clean Energy, Industry, Innovation and Infrastructure, Sustainable Cities and Communities","Mechanical Cooling Systems","Private Sector","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image68.png"
"57","Trane's Radiant Cooling","A system that uses chilled water circulated through pipes in a building's ceiling or walls to provide comfortable cooling without the use of fans or ducts","https://www.youtube.com/watch?v=UDILlsZL1Wg","7,9,11","Affordable and Clean Energy, Industry, Innovation and Infrastructure, Sustainable Cities and Communities","Mechanical Cooling Systems","Private Sector","United States; India","","https://acclabplatforms.blob.core.windows.net/pads/media/image69.png"
"58","Messana's Radiant Cooling","A system that uses chilled water circulated through pipes in a building's ceiling or walls to provide comfortable cooling without the use of fans or ducts","https://radiantcooling.com/","7,9,11","Affordable and Clean Energy, Industry, Innovation and Infrastructure, Sustainable Cities and Communities","Mechanical Cooling Systems","Private Sector","Italy","","https://acclabplatforms.blob.core.windows.net/pads/media/image70.png"
"59","Halton's Radiant Cooling Panels","A system that uses chilled water circulated through panels installed in a building's ceiling or walls to provide comfortable cooling without the use of fans or ducts","https://www.halton.com/products/ain-radiant-panel/","7,9,11","Affordable and Clean Energy, Industry, Innovation and Infrastructure, Sustainable Cities and Communities","Mechanical Cooling Systems","Private Sector","Finland","","https://acclabplatforms.blob.core.windows.net/pads/media/image71.png"
"60","Klima-Therm's Radiant Cooling","A system that uses chilled water circulated through pipes in a building's ceiling or walls to provide comfortable cooling without the use of fans or ducts","https://www.klima-therm.com/pl/radiant-panel-technology,1671,en","7,9,11","Affordable and Clean Energy, Industry, Innovation and Infrastructure, Sustainable Cities and Communities","Mechanical Cooling Systems","Private Sector","United Kingdom","","https://acclabplatforms.blob.core.windows.net/pads/media/image72.png"
"61","REHAU's Radiant Cooling","A system that uses chilled water circulated through pipes in a building's ceiling to provide comfortable cooling without the use of fans or ducts","https://www.rehau.com/us-en/mechanicalplumbing/technologies/radiantallfh/radiant-cooling","7,9,11","Affordable and Clean Energy, Industry, Innovation and Infrastructure, Sustainable Cities and Communities","Mechanical Cooling Systems","Private Sector","Germany","","https://acclabplatforms.blob.core.windows.net/pads/media/image73.png"
"62","Uponor's Radiant Cooling","A system that uses chilled water circulated through pipes in a building's floor or ceiling to provide comfortable cooling without the use of fans or ducts","https://www.uponor.com/getmedia/5245da12-094b-42d5-8919-73cd65e129a0/rcdm.pdf?sitename=USA","7,9,11","Affordable and Clean Energy, Industry, Innovation and Infrastructure, Sustainable Cities and Communities","Mechanical Cooling Systems","Private Sector","Finland","","https://acclabplatforms.blob.core.windows.net/pads/media/image74.png"
"63","Chimney Effect","A natural ventilation technique that relies on the principle that hot air rises and cool air sinks. By creating a vertical temperature gradient in a building, hot air can be vented out of upper floors while cool air is drawn in at lower levels","https://www.sciencedirect.com/science/article/pii/S1876610213009922","7,9,11","Affordable and Clean Energy, Industry, Innovation and Infrastructure, Sustainable Cities and Communities","Passive Cooling System","Community Led","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image75.png"
"64","Roof Pond","A shallow pond built on a building's roof that absorbs heat during the day and radiates it back into the atmosphere at night, cooling the building","https://www.sciencedirect.com/science/article/pii/S1876610213018026","7,9,11","Affordable and Clean Energy, Industry, Innovation and Infrastructure, Sustainable Cities and Communities","Passive Cooling System","Community Led","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image76.png,https://acclabplatforms.blob.core.windows.net/pads/media/image77.png"
"65","Trombe Wall Retrofit","A Trombe wall added to an existing building to improve energy efficiency and reduce heating and cooling costs","https://www.researchgate.net/publication/327385207_Trombe_Wall_Design_Implementation_and_Application_in_Residential_Buildings","7,9,11","Affordable and Clean Energy, Industry, Innovation and Infrastructure, Sustainable Cities and Communities","Passive Cooling System","Community Led","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image78.png,https://acclabplatforms.blob.core.windows.net/pads/media/image79.png"
"66","Moroccan Riads","Moroccan riads are traditional houses built around a central courtyard with a pool or fountain in the middle. The water feature helps to cool the air as it evaporates, and the open design of the courtyard allows for natural ventilation.","https://www.sciencedirect.com/science/article/pii/S2095263521001780","3,7,11","Affordable and Clean Energy, Sustainable Cities and Communities, Sustainable Consumption and Production","Passive Cooling System","Community Led","Morocco","","https://acclabplatforms.blob.core.windows.net/pads/media/image80.png"
"67","Iranian Windcatchers","Windcatchers, also known as badgirs, are traditional Persian architectural elements that capture and circulate the wind to cool indoor spaces. They are often found in desert regions and have been used for centuries.","https://www.sciencedirect.com/science/article/pii/S2095263521001780","3,7,11","Affordable and Clean Energy, Sustainable Cities and Communities, Sustainable Consumption and Production","Passive Cooling System Solution","Community Led","Iran","","https://acclabplatforms.blob.core.windows.net/pads/media/image81.png,https://acclabplatforms.blob.core.windows.net/pads/media/image82.png"
"68","Andalusian Patios","Andalusian patios are traditional Spanish courtyards that are designed to provide shade and Natural Cooling System. They often have a water feature or plants to help cool the air, and the surrounding walls provide shade from the sun.","https://www.researchgate.net/publication/333242685_Traditional_and_modern_cooling_systems_in_Spanish_residential_buildings","3,7,11","Affordable and Clean Energy, Sustainable Cities and Communities, Sustainable Consumption and Production","Passive Cooling System Solution","Community Led","Spain","","https://acclabplatforms.blob.core.windows.net/pads/media/image83.png"
"69","Egyptian Mashrabiya","Mashrabiya is a traditional Arabic architectural element that is used to provide privacy and shading while allowing for natural ventilation. The lattice-like screens are often made of wood and provide a barrier from the hot sun while allowing for air flow.","https://www.mdpi.com/1996-1073/14/3/530","3,7,11","Affordable and Clean Energy, Sustainable Cities and Communities, Sustainable Consumption and Production","Passive Cooling System Solution","Community Led","Egypt","","https://acclabplatforms.blob.core.windows.net/pads/media/image84.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image85.png"
